"Protein.Id","Protein.Name","Gene","Entrez_ID","Ensembl_ID","Pathway_ID","Pathway_Name","Enrichment_Score"
"Q925H0","ASIC2_MOUSE","Asic2",11418,"ENSMUSG00000020704","mmu04742","Taste transduction",0.0111837327523602
"Q6NXK8","ASIC1_MOUSE","Asic1",11419,"ENSMUSG00000023017","mmu04750","Inflammatory mediator regulation of TRP channels",0.0153957879448076
"P09470","ACE_MOUSE","Ace",11421,"ENSMUSG00000020681","mmu05142","Chagas disease",0.0135076252723312
"P09470","ACE_MOUSE","Ace",11421,"ENSMUSG00000020681","mmu05410","Hypertrophic cardiomyopathy",0.0127814088598402
"P09470","ACE_MOUSE","Ace",11421,"ENSMUSG00000020681","mmu05415","Diabetic cardiomyopathy",0.0281771968046478
"P09470","ACE_MOUSE","Ace",11421,"ENSMUSG00000020681","mmu04614","Renin-angiotensin system",0.00493827160493827
"P21836","ACES_MOUSE","Ache",11423,"ENSMUSG00000023328","mmu00564","Glycerophospholipid metabolism",0.0132171387073348
"P21836","ACES_MOUSE","Ache",11423,"ENSMUSG00000023328","mmu04725","Cholinergic synapse",0.0139433551198257
"Q61268","APOC4_MOUSE","Apoc4",11425,"ENSMUSG00000074336",NA,NA,NA
"P28271","ACOHC_MOUSE","Aco1",11428,"ENSMUSG00000028405","mmu01230","Biosynthesis of amino acids",0.00958605664488017
"P28271","ACOHC_MOUSE","Aco1",11428,"ENSMUSG00000028405","mmu00630","Glyoxylate and dicarboxylate metabolism",0.00406681190994916
"P28271","ACOHC_MOUSE","Aco1",11428,"ENSMUSG00000028405","mmu00020","Citrate cycle (TCA cycle)",0.00406681190994916
"P28271","ACOHC_MOUSE","Aco1",11428,"ENSMUSG00000028405","mmu01200","Carbon metabolism",0.0152505446623094
"Q99KI0","ACON_MOUSE","Aco2",11429,"ENSMUSG00000022477","mmu00630","Glyoxylate and dicarboxylate metabolism",0.00406681190994916
"Q99KI0","ACON_MOUSE","Aco2",11429,"ENSMUSG00000022477","mmu01230","Biosynthesis of amino acids",0.00958605664488017
"Q99KI0","ACON_MOUSE","Aco2",11429,"ENSMUSG00000022477","mmu00020","Citrate cycle (TCA cycle)",0.00406681190994916
"Q99KI0","ACON_MOUSE","Aco2",11429,"ENSMUSG00000022477","mmu01200","Carbon metabolism",0.0152505446623094
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu04146","Peroxisome",0.0122004357298475
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu01212","Fatty acid metabolism",0.00827886710239651
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu03320","PPAR signaling pathway",0.0111837327523602
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu00071","Fatty acid degradation",0.0065359477124183
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu00410","beta-Alanine metabolism",0.00421205519244735
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu04936","Alcoholic liver disease",0.0180101670297749
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu01040","Biosynthesis of unsaturated fatty acids",0.00479302832244009
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu01200","Carbon metabolism",0.0152505446623094
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu00640","Propanoate metabolism",0.00421205519244735
"Q9R0H0","ACOX1_MOUSE","Acox1",11430,"ENSMUSG00000020777","mmu04024","cAMP signaling pathway",0.0286129266521423
"Q9D358","PPAC_MOUSE","Acp1",11431,"ENSMUSG00000044573","mmu05208","Chemical carcinogenesis - reactive oxygen species",0.0300653594771242
"Q9D358","PPAC_MOUSE","Acp1",11431,"ENSMUSG00000044573","mmu04520","Adherens junction",0.0119099491648511
"P24638","PPAL_MOUSE","Acp2",11432,"ENSMUSG00000002103","mmu04142","Lysosome",0.0178649237472767
"Q05117","PPA5_MOUSE","Acp5",11433,"ENSMUSG00000001348","mmu04380","Osteoclast differentiation",0.0156862745098039
"Q05117","PPA5_MOUSE","Acp5",11433,"ENSMUSG00000001348","mmu04142","Lysosome",0.0178649237472767
"P23578","ACRO_MOUSE","Acr",11434,"ENSMUSG00000022622",NA,NA,NA
"P04756","ACHA_MOUSE","Chrna1",11435,"ENSMUSG00000027107","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"O70174","ACHA4_MOUSE","Chrna4",11438,"ENSMUSG00000027577","mmu05207","Chemical carcinogenesis - receptor activation",0.0258533042846768
"O70174","ACHA4_MOUSE","Chrna4",11438,"ENSMUSG00000027577","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"O70174","ACHA4_MOUSE","Chrna4",11438,"ENSMUSG00000027577","mmu04725","Cholinergic synapse",0.0139433551198257
"O70174","ACHA4_MOUSE","Chrna4",11438,"ENSMUSG00000027577","mmu05033","Nicotine addiction",0.00508351488743646
"Q9R0W9","ACHA6_MOUSE","Chrna6",11440,"ENSMUSG00000031491","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"Q9R0W9","ACHA6_MOUSE","Chrna6",11440,"ENSMUSG00000031491","mmu04725","Cholinergic synapse",0.0139433551198257
"Q9R0W9","ACHA6_MOUSE","Chrna6",11440,"ENSMUSG00000031491","mmu05033","Nicotine addiction",0.00508351488743646
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu05207","Chemical carcinogenesis - receptor activation",0.0258533042846768
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu04020","Calcium signaling pathway",0.0320987654320988
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu05022","Pathways of neurodegeneration - multiple diseases",0.0621641249092229
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu05010","Alzheimer disease",0.0512708787218591
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu05033","Nicotine addiction",0.00508351488743646
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu04725","Cholinergic synapse",0.0139433551198257
"P49582","ACHA7_MOUSE","Chrna7",11441,"ENSMUSG00000030525","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"P09690","ACHB_MOUSE","Chrnb1",11443,"ENSMUSG00000041189","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"Q9ERK7","ACHB2_MOUSE","Chrnb2",11444,"ENSMUSG00000027950","mmu05033","Nicotine addiction",0.00508351488743646
"Q9ERK7","ACHB2_MOUSE","Chrnb2",11444,"ENSMUSG00000027950","mmu05207","Chemical carcinogenesis - receptor activation",0.0258533042846768
"Q9ERK7","ACHB2_MOUSE","Chrnb2",11444,"ENSMUSG00000027950","mmu04725","Cholinergic synapse",0.0139433551198257
"Q9ERK7","ACHB2_MOUSE","Chrnb2",11444,"ENSMUSG00000027950","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"P02716","ACHD_MOUSE","Chrnd",11447,"ENSMUSG00000026251","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"P20782","ACHE_MOUSE","Chrne",11448,"ENSMUSG00000014609","mmu04080","Neuroactive ligand-receptor interaction",0.0496732026143791
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu03320","PPAR signaling pathway",0.0111837327523602
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04920","Adipocytokine signaling pathway",0.00958605664488017
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04081","Hormone signaling",0.0280319535221496
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04936","Alcoholic liver disease",0.0180101670297749
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04152","AMPK signaling pathway",0.0159767610748003
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04932","Non-alcoholic fatty liver disease",0.0209150326797386
"Q60994","ADIPO_MOUSE","Adipoq",11450,"ENSMUSG00000022878","mmu04211","Longevity regulating pathway",0.0108932461873638
"P50289","ASPX_MOUSE","Acrv1",11451,"ENSMUSG00000032110",NA,NA,NA
"P68134","ACTS_MOUSE","Acta1",11459,"ENSMUSG00000031972","mmu04814","Motor proteins",0.0232389251997095
"P68134","ACTS_MOUSE","Acta1",11459,"ENSMUSG00000031972","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04810","Regulation of actin cytoskeleton",0.0294843863471314
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04919","Thyroid hormone signaling pathway",0.0153957879448076
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04670","Leukocyte transendothelial migration",0.014960058097313
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05225","Hepatocellular carcinoma",0.0222222222222222
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05135","Yersinia infection",0.0180101670297749
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05205","Proteoglycans in cancer",0.0265795206971678
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05414","Dilated cardiomyopathy",0.0129266521423384
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05100","Bacterial invasion of epithelial cells",0.0101670297748729
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",0.011038489469862
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04714","Thermogenesis",0.0307915758896151
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04611","Platelet activation",0.0159767610748003
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05132","Salmonella infection",0.0323892519970951
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04520","Adherens junction",0.0119099491648511
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04390","Hippo signaling pathway",0.0209150326797386
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04015","Rap1 signaling pathway",0.0273057371096587
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04971","Gastric acid secretion",0.00958605664488017
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04814","Motor proteins",0.0232389251997095
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04530","Tight junction",0.0212055192447349
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04613","Neutrophil extracellular trap formation",0.0252723311546841
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04921","Oxytocin signaling pathway",0.0196078431372549
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04210","Apoptosis",0.0178649237472767
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05418","Fluid shear stress and atherosclerosis",0.0197530864197531
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu04510","Focal adhesion",0.0248366013071895
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05410","Hypertrophic cardiomyopathy",0.0127814088598402
"P60710","ACTB_MOUSE","Actb",11461,"ENSMUSG00000029580","mmu05014","Amyotrophic lateral sclerosis",0.0476397966594045
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu05410","Hypertrophic cardiomyopathy",0.0127814088598402
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu04814","Motor proteins",0.0232389251997095
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu04261","Adrenergic signaling in cardiomyocytes",0.0194625998547567
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu05414","Dilated cardiomyopathy",0.0129266521423384
"P68033","ACTC_MOUSE","Actc1",11464,"ENSMUSG00000068614","mmu04260","Cardiac muscle contraction",0.0114742193173566
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04510","Focal adhesion",0.0248366013071895
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04971","Gastric acid secretion",0.00958605664488017
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04390","Hippo signaling pathway",0.0209150326797386
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05132","Salmonella infection",0.0323892519970951
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04919","Thyroid hormone signaling pathway",0.0153957879448076
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04613","Neutrophil extracellular trap formation",0.0252723311546841
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05100","Bacterial invasion of epithelial cells",0.0101670297748729
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05225","Hepatocellular carcinoma",0.0222222222222222
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05135","Yersinia infection",0.0180101670297749
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04670","Leukocyte transendothelial migration",0.014960058097313
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04611","Platelet activation",0.0159767610748003
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04714","Thermogenesis",0.0307915758896151
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05205","Proteoglycans in cancer",0.0265795206971678
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04810","Regulation of actin cytoskeleton",0.0294843863471314
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05410","Hypertrophic cardiomyopathy",0.0127814088598402
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05014","Amyotrophic lateral sclerosis",0.0476397966594045
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",0.011038489469862
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04530","Tight junction",0.0212055192447349
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04921","Oxytocin signaling pathway",0.0196078431372549
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05418","Fluid shear stress and atherosclerosis",0.0197530864197531
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04814","Motor proteins",0.0232389251997095
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04015","Rap1 signaling pathway",0.0273057371096587
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04210","Apoptosis",0.0178649237472767
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu05414","Dilated cardiomyopathy",0.0129266521423384
"P63260","ACTG_MOUSE","Actg1",11465,"ENSMUSG00000062825","mmu04520","Adherens junction",0.0119099491648511
"P63268","ACTH_MOUSE","Actg2",11468,"ENSMUSG00000059430","mmu04814","Motor proteins",0.0232389251997095
"P63268","ACTH_MOUSE","Actg2",11468,"ENSMUSG00000059430","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"P63268","ACTH_MOUSE","Actg2",11468,"ENSMUSG00000059430","mmu04270","Vascular smooth muscle contraction",0.016557734204793
"Q9QY84","ACL7A_MOUSE","Actl7a",11470,"ENSMUSG00000070979",NA,NA,NA
"Q9QY83","ACL7B_MOUSE","Actl7b",11471,"ENSMUSG00000070980",NA,NA,NA
"Q9JI91","ACTN2_MOUSE","Actn2",11472,"ENSMUSG00000052374","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",0.011038489469862
"Q9JI91","ACTN2_MOUSE","Actn2",11472,"ENSMUSG00000052374","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"O88990","ACTN3_MOUSE","Actn3",11474,"ENSMUSG00000006457","mmu04820","Cytoskeleton in muscle cells",0.0284676833696442
"O88990","ACTN3_MOUSE","Actn3",11474,"ENSMUSG00000006457","mmu05412","Arrhythmogenic right ventricular cardiomyopathy",0.011038489469862
"P62737","ACTA_MOUSE","Acta2",11475,"ENSMUSG00000035783","mmu04270","Vascular smooth muscle contraction",0.016557734204793
"P62737","ACTA_MOUSE","Acta2",11475,"ENSMUSG00000035783","mmu04814","Motor proteins",0.0232389251997095
"P62737","ACTA_MOUSE","Acta2",11475,"ENSMUSG00000035783","mmu04371","Apelin signaling pathway",0.0175744371822803
"P62737","ACTA_MOUSE","Acta2",11475,"ENSMUSG00000035783","mmu04926","Relaxin signaling pathway",0.0164124909222948
"P37172","ACVR1_MOUSE","Acvr1",11477,"ENSMUSG00000026836","mmu04060","Cytokine-cytokine receptor interaction",0.0380537400145243
"P37172","ACVR1_MOUSE","Acvr1",11477,"ENSMUSG00000026836","mmu04081","Hormone signaling",0.0280319535221496
"P37172","ACVR1_MOUSE","Acvr1",11477,"ENSMUSG00000026836","mmu04350","TGF-beta signaling pathway",0.0146695715323166
"P37172","ACVR1_MOUSE","Acvr1",11477,"ENSMUSG00000026836","mmu05418","Fluid shear stress and atherosclerosis",0.0197530864197531
"P37172","ACVR1_MOUSE","Acvr1",11477,"ENSMUSG00000026836","mmu04550","Signaling pathways regulating pluripotency of stem cells",0.0178649237472767
"Q61271","ACV1B_MOUSE","Acvr1b",11479,"ENSMUSG00000000532","mmu04550","Signaling pathways regulating pluripotency of stem cells",0.0178649237472767
"Q61271","ACV1B_MOUSE","Acvr1b",11479,"ENSMUSG00000000532","mmu04350","TGF-beta signaling pathway",0.0146695715323166
"Q61271","ACV1B_MOUSE","Acvr1b",11479,"ENSMUSG00000000532","mmu04060","Cytokine-cytokine receptor interaction",0.0380537400145243
"P27038","AVR2A_MOUSE","Acvr2a",11480,"ENSMUSG00000052155","mmu04550","Signaling pathways regulating pluripotency of stem cells",0.0178649237472767
"P27038","AVR2A_MOUSE","Acvr2a",11480,"ENSMUSG00000052155","mmu05418","Fluid shear stress and atherosclerosis",0.0197530864197531
"P27038","AVR2A_MOUSE","Acvr2a",11480,"ENSMUSG00000052155","mmu04350","TGF-beta signaling pathway",0.0146695715323166
"P27038","AVR2A_MOUSE","Acvr2a",11480,"ENSMUSG00000052155","mmu04060","Cytokine-cytokine receptor interaction",0.0380537400145243
"P27040","AVR2B_MOUSE","Acvr2b",11481,"ENSMUSG00000061393","mmu05418","Fluid shear stress and atherosclerosis",0.0197530864197531
"P27040","AVR2B_MOUSE","Acvr2b",11481,"ENSMUSG00000061393","mmu04550","Signaling pathways regulating pluripotency of stem cells",0.0178649237472767
"P27040","AVR2B_MOUSE","Acvr2b",11481,"ENSMUSG00000061393","mmu04350","TGF-beta signaling pathway",0.0146695715323166
"P27040","AVR2B_MOUSE","Acvr2b",11481,"ENSMUSG00000061393","mmu04060","Cytokine-cytokine receptor interaction",0.0380537400145243
"Q61288","ACVL1_MOUSE","Acvrl1",11482,"ENSMUSG00000000530","mmu04060","Cytokine-cytokine receptor interaction",0.0380537400145243
"Q8R3P0","ACY2_MOUSE","Aspa",11484,"ENSMUSG00000020774","mmu00250","Alanine, aspartate and glutamate metabolism",0.00493827160493827
"P03958","ADA_MOUSE","Ada",11486,"ENSMUSG00000017697","mmu05340","Primary immunodeficiency",0.00508351488743646
"P03958","ADA_MOUSE","Ada",11486,"ENSMUSG00000017697","mmu00230","Purine metabolism",0.0172839506172839
"P03958","ADA_MOUSE","Ada",11486,"ENSMUSG00000017697","mmu01232","Nucleotide metabolism",0.0108932461873638
"O35598","ADA10_MOUSE","Adam10",11487,"ENSMUSG00000054693","mmu05010","Alzheimer disease",0.0512708787218591
"O35598","ADA10_MOUSE","Adam10",11487,"ENSMUSG00000054693","mmu04148","Efferocytosis",0.0207697893972404
"Q9R1V4","ADA11_MOUSE","Adam11",11488,"ENSMUSG00000020926",NA,NA,NA
"Q61824","ADA12_MOUSE","Adam12",11489,"ENSMUSG00000054555",NA,NA,NA
"O88839","ADA15_MOUSE","Adam15",11490,"ENSMUSG00000028041",NA,NA,NA
"Q9Z0F8","ADA17_MOUSE","Adam17",11491,"ENSMUSG00000052593","mmu04148","Efferocytosis",0.0207697893972404
"Q9Z0F8","ADA17_MOUSE","Adam17",11491,"ENSMUSG00000052593","mmu04330","Notch signaling pathway",0.00784313725490196
"Q9Z0F8","ADA17_MOUSE","Adam17",11491,"ENSMUSG00000052593","mmu04668","TNF signaling pathway",0.0158315177923021
"Q9Z0F8","ADA17_MOUSE","Adam17",11491,"ENSMUSG00000052593","mmu05010","Alzheimer disease",0.0512708787218591
"O35674","ADA19_MOUSE","Adam19",11492,"ENSMUSG00000011256",NA,NA,NA
"Q60718","ADAM2_MOUSE","Adam2",11495,"ENSMUSG00000022039",NA,NA,NA
"Q9R1V6","ADA22_MOUSE","Adam22",11496,"ENSMUSG00000040537",NA,NA,NA
"F8VQ03","ADAM3_MOUSE","Adam3",11497,"ENSMUSG00000031553",NA,NA,NA
"Q3TTE0","ADAM5_MOUSE","Adam5",11499,"ENSMUSG00000031554",NA,NA,NA
"O35227","ADAM7_MOUSE","Adam7",11500,"ENSMUSG00000022056",NA,NA,NA
"Q05910","ADAM8_MOUSE","Adam8",11501,"ENSMUSG00000025473",NA,NA,NA
"P97857","ATS1_MOUSE","Adamts1",11504,"ENSMUSG00000022893",NA,NA,NA
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04081","Hormone signaling",0.0280319535221496
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04371","Apelin signaling pathway",0.0175744371822803
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu05207","Chemical carcinogenesis - receptor activation",0.0258533042846768
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04914","Progesterone-mediated oocyte maturation",0.0116194625998548
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04024","cAMP signaling pathway",0.0286129266521423
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04934","Cushing syndrome",0.0206245461147422
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04935","Growth hormone synthesis, secretion and action",0.0145243282498184
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu04723","Retrograde endocannabinoid signaling",0.0194625998547567
"P51829","ADCY7_MOUSE","Adcy7",11513,"ENSMUSG00000031659","mmu00230","Purine metabolism",0.0172839506172839
